country id,name,capital
0,Andorra,Andorra la Vella
1,UnitedArabEmirates,Abu Dhabi
2,Afghanistan,Kabul
3,AntiguaandBarbuda,St. John's
4,Anguilla,The Valley
5,Albania,Tirana
6,Armenia,Yerevan
7,Angola,Luanda
8,Antarctica,None
9,Argentina,Buenos Aires
10,AmericanSamoa,Pago Pago
11,Austria,Vienna
12,Australia,Canberra
13,Aruba,Oranjestad
14,Åland,Mariehamn
15,Azerbaijan,Baku
16,BosniaandHerzegovina,Sarajevo
17,Barbados,Bridgetown
18,Bangladesh,Dhaka
19,Belgium,Brussels
20,BurkinaFaso,Ouagadougou
21,Bulgaria,Sofia
22,Bahrain,Manama
23,Burundi,Bujumbura
24,Benin,Porto-Novo
25,SaintBarthélemy,Gustavia
26,Bermuda,Hamilton
27,Brunei,Bandar Seri Begawan
28,Bolivia,Sucre
29,Bonaire,Kralendijk
30,Brazil,Brasília
31,Bahamas,Nassau
32,Bhutan,Thimphu
33,BouvetIsland,None
34,Botswana,Gaborone
35,Belarus,Minsk
36,Belize,Belmopan
37,Canada,Ottawa
38,Cocos[Keeling]Islands,West Island
39,DemocraticRepublicoftheCongo,Kinshasa
40,CentralAfricanRepublic,Bangui
41,RepublicoftheCongo,Brazzaville
42,Switzerland,Bern
43,IvoryCoast,Yamoussoukro
44,CookIslands,Avarua
45,Chile,Santiago
46,Cameroon,Yaoundé
47,China,Beijing
48,Colombia,Bogotá
49,CostaRica,San José
50,Cuba,Havana
51,CapeVerde,Praia
52,Curacao,Willemstad
53,ChristmasIsland,Flying Fish Cove
54,Cyprus,Nicosia
55,CzechRepublic,Prague
56,Germany,Berlin
57,Djibouti,Djibouti
58,Denmark,Copenhagen
59,Dominica,Roseau
60,DominicanRepublic,Santo Domingo
61,Algeria,Algiers
62,Ecuador,Quito
63,Estonia,Tallinn
64,Egypt,Cairo
65,WesternSahara,Laâyoune / El Aaiún
66,Eritrea,Asmara
67,Spain,Madrid
68,Ethiopia,Addis Ababa
69,Finland,Helsinki
70,Fiji,Suva
71,FalklandIslands,Stanley
72,Micronesia,Palikir
73,FaroeIslands,Tórshavn
74,France,Paris
75,Gabon,Libreville
76,UnitedKingdom,London
77,Grenada,St. George's
78,Georgia,Tbilisi
79,FrenchGuiana,Cayenne
80,Guernsey,St Peter Port
81,Ghana,Accra
82,Gibraltar,Gibraltar
83,Greenland,Nuuk
84,Gambia,Bathurst
85,Guinea,Conakry
86,Guadeloupe,Basse-Terre
87,EquatorialGuinea,Malabo
88,Greece,Athens
89,SouthGeorgiaandtheSouthSandwichIslands,Grytviken
90,Guatemala,Guatemala City
91,Guam,Hagåtña
92,Guinea-Bissau,Bissau
93,Guyana,Georgetown
94,HongKong,Hong Kong
95,HeardIslandandMcDonaldIslands,None
96,Honduras,Tegucigalpa
97,Croatia,Zagreb
98,Haiti,Port-au-Prince
99,Hungary,Budapest
100,Indonesia,Jakarta
101,Ireland,Dublin
102,Israel,None
103,IsleofMan,Douglas
104,India,New Delhi
